index,Number,Resource,Kind,AuditDepth,Repository,Revision,LicenseStatus,Decision,NextAction
20,21,ACT-R,Cognitive architecture/source distribution,Architecture/source-distribution audit,Official ACT-R distribution from Carnegie Mellon,ACT-R 7.30+ documentation current in 2026,Check official distribution terms before code reuse,"Reference architecture, not dependency.",Use ACT-R-style retrieval activation as one candidate in memory-retrieval ablations.
21,22,NARS / OpenNARS,Codebase/cognitive architecture,Representative source/architecture audit,opennars/opennars,Current master inspected; pin exact commit before experiment,Verify current core and related modules,Prototype selected belief-revision/resource concepts only if temporal belief graph needs them.,Benchmark simple Bayesian/confidence revision vs NARS-inspired revision on contradictory-history scenarios.
22,23,Sigma cognitive architecture,Cognitive architecture,Implementation/architecture landscape audit,USC ICT Sigma public release,Public release described by current ICT site; exact code artifact must be re-acquired/pinned before reuse,BSD 2-clause stated by ICT,Monitor/reference only.,"Use as comparison when designing the temporal belief graph, especially where structured relations need probabilistic confidence."
23,24,Virtual Human Toolkit,Modular platform,Architecture and availability audit; current full source release not clearly available as one public GitHub repo,USC ICT VHToolkit,Current official site checked in 2026,Legacy/full distribution has mixed/access-specific terms; new release status must be rechecked,Architecture reference; re-audit when a clearly public current repository is released.,Keep Dagmay.Environment/Embodiment adapters provider-independent and message-based.
24,25,PersonaGym + InCharacter,Benchmark/code,Representative source + methodology audit,vsamuel2003/PersonaGym + InCharacter project/code,PersonaGym inspected at 536f705e610289c38d84e083fcea6ea5093d3a25,Verify both projects before reuse,Adapt evaluation methods as secondary probes.,Run identical probes before/after provider swap and compare behavioral choices separately from wording/style.
25,26,MACHIAVELLI,Benchmark/code,Representative source/benchmark audit,aypan17/machiavelli,ebb44e197f663603427882c609dbc9d5fb883d63,Verify repository/game-data licenses before reuse,Reserve for Limited Agency stage.,"Adapt a small, transparent subset with deterministic annotations and compare against original benchmark results."
26,27,Neural MMO,Codebase/environment,Architecture/environment audit,NeuralMMO/environment + baselines,Current 2.1 branch/environment ecosystem; pin at experiment time,Verify current components,P2/P3 environment adapter.,"After individual and small-group experiments, test cross-world transfer and population effects."
27,28,MineDojo,Codebase/environment/dataset ecosystem,Architecture/source surface audit,MineDojo/MineDojo,2731bc27394269643b43828d9db8ab3a364601f0 representative source revision,Code MIT; datasets have mixed licenses—reverify each,Future embodied/open-ended environment adapter.,Compare 'lived only' vs 'external cultural knowledge' cohorts after core developmental learner exists.
28,29,Open-endedness family: POET / Go-Explore / MAP-Elites (pyribs),Implementation family,Implementation-landscape audit,"Representative: uber-research/go-explore (archived), pyribs; POET implementations vary",Pin individual repos before experiments,Varies by implementation,Long-term research track focused on environments/curricula.,Use QD to generate diverse worlds/challenges while holding identity/cognition treatment fixed.
29,30,World-model family: DreamerV3 / TD-MPC2 / V-JEPA 2/2.1,Implementation family,Representative source/repository landscape audit,danijar/dreamerv3; nicklashansen/tdmpc2; facebookresearch/vjepa2,Current 2026 repositories; pin exact commits for experiments,DreamerV3 MIT; TD-MPC2 MIT; V-JEPA2 mostly MIT with some Apache-2.0 files—reverify,Monitor and benchmark later. Start with an interpretable local predictive learner.,Only escalate to neural latent world models after a simple transition/prediction baseline is shown insufficient on preregistered tasks.
