ExperimentId,Title,Status
SL-LONGITUDINAL-REFLECTION-OFFLINE-INFRASTRUCTURE-001,Validate longitudinal exact control and attribution commits,implemented and passed
SL-LONGITUDINAL-REFLECTION-NEGATIVE-RESULT-001,Classify persistent third-person longitudinal self-model result,implemented
SL-RAW-STREAM-OWNERSHIP-001,Raw-event privileged-stream identification across two histories and label permutations,prepared; awaiting real calls
SL-DEICTIC-BINDING-001,Bind longitudinal hypotheses to a functional PerspectiveAnchor,designed; gated on raw-stream result
SL-V11-OFFLINE-INFRASTRUCTURE-001,Validate raw-stream probe and PerspectiveAnchor store,implemented
SL-RAW-STREAM-OWNERSHIP-RESULT-ANALYSIS-001,Audit completed raw-stream ownership result and schema confound,implemented
SL-SCHEMA-BALANCED-OWNERSHIP-BASELINE-001,Matched-schema causal perspective deterministic baseline,implemented and passed
SL-SCHEMA-BALANCED-OFFLINE-INFRASTRUCTURE-001,"Validate provider, checkpoint/resume, and rationale handling",implemented and passed
SL-SCHEMA-BALANCED-OWNERSHIP-001,Real schema-balanced causal perspective probe,prepared; awaiting real calls
SL-SCHEMA-BALANCED-RESULT-ANALYSIS-001,Analyze matched-schema real causal perspective failure,implemented
SL-CAUSAL-PERSPECTIVE-LEARNER-001,Nonlinguistic learned PerspectiveAnchor with permutation and causal ablation,implemented and passed
SL-DEICTIC-BINDING-OFFLINE-001,Bind longitudinal third-person SelfModel to learned perspective,implemented and passed
SL-FUNCTIONAL-SELF-INDEX-001,Construct functional focal-perspective SelfIndex,implemented and passed
SL-PROVIDER-RELIABILITY-001,Task-specific empirical provider calibration,implemented
SL-SELF-MODEL-FEEDBACK-001,Exact-fork retrieval/attention-only SelfIndex feedback,preregistered; requires human approval
SL-SELF-MODEL-FEEDBACK-RESULT-ANALYSIS-001,Paired analysis of retrieval/attention intervention,implemented
SL-RETRIEVAL-ATTENTION-REAL-REFLECTION-PILOT-001,Compare self-index retrieval effect against duplicate provider variability,prepared; awaiting real calls
SL-RETRIEVAL-ATTENTION-REAL-PILOT-OFFLINE-TEST-001,Validate real-pilot checkpoint/resume and analysis plumbing,implemented and passed
SL-RETRIEVAL-REFLECTION-MEDIATION-ANALYSIS-001,Analyze real retrieval-input to reflection-output mediation,implemented
SL-TYPED-EVIDENCE-RETRIEVAL-001,Typed structural evidence retrieval across four SelfIndex domains,implemented and passed
SL-TYPED-RETRIEVAL-REAL-PILOT-OFFLINE-TEST-001,Validate typed real-pilot checkpointing and opaque evidence IDs,implemented and passed
SL-TYPED-RETRIEVAL-REAL-REFLECTION-PILOT-001,Test target-specific reflection effects with typed evidence retrieval,prepared; awaiting real calls
SL-TYPED-RETRIEVAL-REAL-PILOT-DESIGN-AUDIT-001,Audit prevalence ceiling and evidence-channel omission in typed real pilot,implemented
SL-ATTENTION-COMPETITION-OFFLINE-INFRASTRUCTURE-001,"Validate selective prompt, matched composition, and checkpoint/resume",implemented and passed
SL-ATTENTION-COMPETITION-REAL-REFLECTION-PILOT-001,Test target-domain selection under a two-proposal attention budget,prepared; awaiting real calls
SL-ATTENTION-COMPETITION-REAL-RESULT-ANALYSIS-V2-001,Deeper exact analysis of scarce-attention real-provider result,implemented
SL-MULTI-HISTORY-ATTENTION-OFFLINE-INFRASTRUCTURE-001,Validate multi-history replication checkpoint/resume and ordering controls,implemented and passed
SL-MULTI-HISTORY-ATTENTION-REPLICATION-001,Replicate attention selection across three independent histories,prepared; awaiting real calls
SL-CANONICAL-COMMIT-READINESS-ASSESSMENT-001,Assess readiness after multi-history attention replication,implemented
SL-CANONICAL-PROMOTION-OFFLINE-INFRASTRUCTURE-001,Validate quarantine and human-gated canonical promotion,implemented
SL-BOUNDED-CANONICAL-PROMOTION-001,Exact-fork first canonical SelfModel promotion,designed; requires explicit human approval
SL-CANONICAL-BRANCH-CHECKPOINT-ROUNDTRIP-001,Verify exact persistence of C0/C1 canonical branch state,implemented and passed
SL-CANONICAL-PROMOTION-FACTORIAL-OFFLINE-INFRASTRUCTURE-001,Validate 2x2 downstream reflection pilot checkpoint/resume,implemented and passed
SL-CANONICAL-PROMOTION-FACTORIAL-REFLECTION-001,Separate canonical SelfModel and retrieval effects on reflection,prepared; awaiting real calls
SL-CANONICAL-PROMOTION-FACTORIAL-RESULT-ANALYSIS-V2-001,Deeper small-sample analysis of SelfModel x retrieval interaction,implemented
SL-CANONICAL-BELIEF-CHALLENGE-OFFLINE-INFRASTRUCTURE-001,Validate falsifiability pilot and checkpoint/resume,implemented and passed
SL-CANONICAL-BELIEF-CHALLENGE-001,Test whether promoted canonical belief remains revisable under scope-limiting evidence,prepared; awaiting real calls
SL-ENACTED-SOCIAL-WORLD-LOCAL-STRUCTURAL-VALIDATION-001,Validate hidden enacted social regimes across 32 seeds,implemented and passed
SL-ENACTED-LIVED-REVISION-OFFLINE-INFRASTRUCTURE-001,Validate enacted-history revision pilot and checkpoint resume,implemented and passed
SL-ENACTED-LIVED-EVIDENCE-CANONICAL-REVISION-PILOT-001,Test canonical belief revision after enacted social history,prepared; awaiting real calls
SL-DIVERGENT-LIVED-HISTORY-CANONICAL-REVISION-CONSENSUS-001,Gate branch-specific canonical revisions after divergent enacted histories,prepared; awaiting human decision
SL-APPROVED-DIVERGENT-BRANCH-CANONICAL-REVISION-001,Execute approved branch-specific canonical revisions,approved and executed
SL-BRANCH-SPECIFIC-CANONICAL-REVISION-OFFLINE-GUARDRAIL-TESTS-001,Validate branch-specific revision guardrails,implemented and passed
SL-COMMON-FUTURE-PSYCHOLOGICAL-DIVERGENCE-PILOT-001,Test path dependence under identical new evidence,prepared; awaiting real calls
SL-COMMON-FUTURE-PSYCHOLOGICAL-DIVERGENCE-ANALYSIS-001,Analyze branch path dependence under one identical future,completed
SL-MULTI-EPOCH-COMMON-FUTURE-OFFLINE-INFRASTRUCTURE-001,Validate sequential shadow convergence checkpoint and resume,implemented and passed
SL-MULTI-EPOCH-COMMON-FUTURE-CONVERGENCE-PILOT-001,Test persistence versus convergence across repeated shared future epochs,prepared; awaiting real calls
SL-MULTI-EPOCH-COMMON-FUTURE-CONVERGENCE-ANALYSIS-001,Lexical convergence analysis under four shared future epochs,completed; measurement conflict identified
SL-BLINDED-SEMANTIC-CONVERGENCE-OFFLINE-INFRASTRUCTURE-001,Validate blinded semantic audit checkpoint and resume,implemented and passed
SL-BLINDED-SEMANTIC-CONVERGENCE-AUDIT-001,Audit semantic convergence using fixed ontology,prepared; awaiting real calls
SL-BLINDED-SEMANTIC-CONVERGENCE-ANALYSIS-001,Blinded fixed-ontology semantic convergence analysis,completed; partial convergence
SL-SEMANTIC-MEASUREMENT-RELIABILITY-OFFLINE-INFRASTRUCTURE-001,Validate semantic reliability checkpoint and resume,implemented and passed
SL-SEMANTIC-MEASUREMENT-RELIABILITY-001,Measure evaluator reliability and branch-vs-trajectory variance,prepared; awaiting real calls
SL-SEMANTIC-MEASUREMENT-RELIABILITY-ANALYSIS-001,Measure semantic evaluator repeatability and branch-vs-trajectory variance,completed; branch signal not separated
SL-BRANCH-HISTORY-SIGNAL-REPLICATION-OFFLINE-INFRASTRUCTURE-001,Validate six-trajectory branch-history replication pipeline,implemented and passed
SL-BRANCH-HISTORY-SIGNAL-REPLICATION-001,Replicate persistent branch-history signal with six trajectories per branch,prepared; awaiting real calls
SL-BRANCH-HISTORY-SIGNAL-REPLICATION-ANALYSIS-001,Replicate residual branch-history signal with six trajectories per branch,completed; semantic convergence; branch signal unresolved
SL-AUTOBIOGRAPHICAL-RETRIEVAL-CAUSALITY-ABLATION-OFFLINE-INFRASTRUCTURE-001,Validate truthful own-history retrieval ablation,implemented and passed
SL-AUTOBIOGRAPHICAL-RETRIEVAL-CAUSALITY-ABLATION-001,Test causal effect of truthful autobiographical retrieval on history persistence,prepared; awaiting real calls
SL-AUTOBIOGRAPHICAL-RETRIEVAL-CAUSALITY-ABLATION-ANALYSIS-001,Test causal effect of truthful own-history retrieval,completed; detectable but overlapping effect
SL-CROSSED-FOREIGN-HISTORY-RETRIEVAL-CONTROL-OFFLINE-INFRASTRUCTURE-001,Validate crossed foreign-history reference control,implemented and passed
SL-CROSSED-FOREIGN-HISTORY-RETRIEVAL-CONTROL-001,Test autobiographical specificity versus generic historical-context effects,prepared; awaiting real calls
SL-CROSSED-FOREIGN-HISTORY-RETRIEVAL-CONTROL-ANALYSIS-001,Test own-history specificity against crossed foreign historical context,completed; own-history alignment specificity supported
SL-OWN-HISTORY-ATTRIBUTION-FRAMING-ABLATION-OFFLINE-INFRASTRUCTURE-001,Validate source-relation-withheld own-history control,implemented and passed
SL-OWN-HISTORY-ATTRIBUTION-FRAMING-ABLATION-001,Separate own-history content matching from explicit autobiographical attribution,prepared; awaiting real calls
